"Reporte de avance"
Campaña,Concesionarias,pospuesto,finalizado,"no utilizados","En proceso"
"2016-1 PROSPECCIÓN","CONCESIONARIA DE PRUEBAS",1149,0,374,19
"2016-2 CALIFICACIÓN","CONCESIONARIA DE PRUEBAS",0,0,0,0
"2016-3 PRESENTACIÓN","CONCESIONARIA DE PRUEBAS",0,0,0,0
"2016-4 DEMOSTRACIÓN","CONCESIONARIA DE PRUEBAS",4,0,0,0
"2016-5 NEGOCIACIÓN","CONCESIONARIA DE PRUEBAS",2,0,0,0
"2016-6 CIERRE","CONCESIONARIA DE PRUEBAS",2,0,0,0
"2016-7 ENTREGA","CONCESIONARIA DE PRUEBAS",4,0,0,0
"2016-8 SEGUIMIENTO","CONCESIONARIA DE PRUEBAS",10,0,0,0
